Date,Price,Open,High,Low,Vol.,Change %
Jan 29 2007,121.26,128.74,129.0,118.4,923.54K,-3.72%
Jan 30 2007,121.75,121.84,122.92,120.42,262.73K,0.40%
Jan 31 2007,121.42,121.5,122.95,120.2,279.30K,-0.27%
Feb 01 2007,122.45,121.45,122.66,120.24,231.61K,0.85%
Feb 02 2007,123.12,122.02,124.65,121.91,279.94K,0.55%
Feb 05 2007,121.11,123.0,123.2,119.6,291.58K,-1.63%
Feb 06 2007,125.41,121.02,125.69,121.02,322.63K,3.55%
Feb 07 2007,125.43,125.0,126.38,124.36,188.75K,0.02%
Feb 08 2007,126.02,125.43,126.36,124.53,129.81K,0.47%
Feb 09 2007,124.82,126.0,126.62,124.3,166.55K,-0.95%
Feb 12 2007,123.23,124.41,124.74,122.59,176.08K,-1.27%
Feb 13 2007,123.86,123.2,124.64,123.2,156.58K,0.51%
Feb 14 2007,126.0,124.14,127.7,123.73,287.38K,1.73%
Feb 15 2007,126.4,125.41,126.5,124.31,174.12K,0.32%
Feb 16 2007,126.4,126.4,127.49,124.7,173.20K,0.00%
Feb 20 2007,127.56,126.39,128.16,124.14,165.23K,0.92%
Feb 21 2007,125.84,126.65,126.78,124.1,209.27K,-1.35%
Feb 22 2007,127.36,125.51,127.64,125.24,143.82K,1.21%
Feb 23 2007,127.95,126.92,128.36,126.12,105.83K,0.46%
Feb 26 2007,132.4,128.57,133.12,128.42,437.57K,3.48%
Feb 27 2007,125.1,129.56,130.61,124.32,371.88K,-5.51%
Feb 28 2007,126.07,126.14,126.56,122.15,236.03K,0.78%
Mar 01 2007,125.25,122.92,127.25,120.88,232.05K,-0.65%
Mar 02 2007,123.43,124.4,125.56,122.69,199.04K,-1.45%
Mar 05 2007,122.3,122.71,124.61,122.1,186.55K,-0.92%
Mar 06 2007,125.21,123.9,125.67,123.64,158.69K,2.38%
Mar 07 2007,122.75,124.7,125.11,122.75,285.15K,-1.96%
Mar 08 2007,124.56,124.23,125.76,123.51,148.10K,1.47%
Mar 09 2007,123.87,125.03,125.25,121.73,212.90K,-0.55%
Mar 12 2007,126.58,124.56,126.92,123.66,217.30K,2.19%
Mar 13 2007,123.09,125.79,126.48,123.0,267.53K,-2.76%
Mar 14 2007,124.0,123.55,124.01,120.55,322.26K,0.74%
